OMICS_ICL103_NS1_7hr_Protein_1_068,OMICS_ICL103_NS1_7hr_Protein_3_030,OMICS_ICL103_NS1_7hr_Protein_3_030.1,OMICS_ICL103_NS1_7hr_Protein_4_010,OMICS_ICL103_NS1_7hr_Protein_5_039,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
ANXA1,23.01376897662064,22.857194903744453,22.989846641318998,23.083133271368773,23.147852792934685,23.13980635707651,22.92769730389285,23.081480657360864,23.07431420965289,22.75258660797222
ANXA2,27.91205268419419,27.28364525178663,27.542540028888215,27.76286025561886,27.302977983387038,26.96906072357048,27.70497592145621,26.6271730465021,27.461964342986953,27.557287200370094
ANXA3,25.690003135440122,25.2327515298947,25.89156377020603,25.11242801660462,25.529526072140577,25.099183346964743,25.757686862814225,25.042271588729335,25.371663867517036,24.785480119452053
ANXA4,21.96527527602478,22.214448635022556,22.112076014064048,22.467301092203755,22.336534480615708,22.226778472985785,22.059407466241503,22.147091010546866,22.247441442306044,22.101694934527988
ANXA5,24.2814547524014,24.886331203353667,24.81909473916905,24.9906818375356,25.35544456506863,24.756680546501098,24.053141968666417,24.987849598817874,24.974446361605008,24.558615745088726
ANXA7,23.454398196567812,24.150362833647442,23.45166941113007,23.65689812277235,23.745461034815083,23.70097374843818,23.830894308123405,23.83391423502814,23.63128775865266,23.655539827850877
AP1B1,19.926823752564466,20.464984833961985,19.97438505989163,20.63032314261647,20.29645809604623,20.542532505244097,20.023865045522864,20.554774826510336,20.536357562046195,20.29000863263396
AP1G1,19.44831444196644,20.187071427130746,19.713069483935282,19.5969110036332,19.48127644003755,20.863532645508236,19.442105829234137,20.21474363497453,19.986777781322065,20.312208476554687
AP2A1,20.735689390865943,20.59146798452965,20.00665663136436,20.539290515338386,20.725445509923762,20.58767768467469,20.818091797136688,20.632577034938514,20.48701699040575,20.707324978459503
AP2A2,20.43204817863995,20.74266077538808,19.98425157288564,20.728725974744105,20.522538031926274,21.4514203777615,20.398060032387416,20.606457801585453,20.835780731382506,20.77575913916477
